title,rating,genre,director,star,score
Mad Max 2,R,Action,George Miller,Mel Gibson,7.6
Das Boot,,Adventure,Wolfgang Petersen,Jürgen Prochnow,8.3
Stripes,R,Comedy,Ivan Reitman,Bill Murray,6.9
Possession,R,Drama,Andrzej Zulawski,Isabelle Adjani,7.4
Possession,PG-13,Drama,Neil LaBute,Gwyneth Paltrow,6.3
The Cannonball Run,PG,Action,Hal Needham,Burt Reynolds,6.2
Thief,R,Action,Michael Mann,James Caan,7.4
Endless Love,R,Drama,Franco Zeffirelli,Brooke Shields,4.9
Endless Love,PG-13,Drama,Shana Feste,Gabriella Wilde,6.3
Time Bandits,PG,Adventure,Terry Gilliam,Sean Connery,7.0
The Four Seasons,PG,Comedy,Alan Alda,Alan Alda,6.8
Friday the 13th Part 2,R,Horror,Steve Miner,Betsy Palmer,6.1
Scanners,R,Horror,David Cronenberg,Jennifer O'Neill,6.8
For Your Eyes Only,PG,Action,John Glen,Roger Moore,6.7
Halloween II,R,Horror,Rick Rosenthal,Jamie Lee Curtis,6.5
Halloween II,R,Horror,Rob Zombie,Scout Taylor-Compton,4.8
Taps,PG,Drama,Harold Becker,George C. Scott,6.8
Reds,PG,Biography,Warren Beatty,Warren Beatty,7.3
On Golden Pond,PG,Drama,Mark Rydell,Katharine Hepburn,7.6
The Fox and the Hound,G,Animation,Directors,Mickey Rooney,7.3
Chariots of Fire,PG,Biography,Hugh Hudson,Ben Cross,7.2
Absence of Malice,PG,Drama,Sydney Pollack,Paul Newman,6.9
Tarzan the Ape Man,Approved,Adventure,John Derek,Bo Derek,3.4
Victory,PG,Drama,John Huston,Michael Caine,6.7
Arthur,PG,Comedy,Steve Gordon,Dudley Moore,6.9
My Dinner with Andre,PG,Biography,Louis Malle,Andre Gregory,7.8
Caveman,PG,Comedy,Carl Gottlieb,Ringo Starr,5.8
Dead & Buried,R,Horror,Gary Sherman,James Farentino,6.6
History of the World: Part I,R,Comedy,Mel Brooks,Mel Brooks,6.9
The Howling,R,Horror,Joe Dante,Dee Wallace,6.6
Dragonslayer,PG,Action,Matthew Robbins,Peter MacNicol,6.7
Cutter's Way,R,Crime,Ivan Passer,Jeff Bridges,6.9
Quest for Fire,R,Adventure,Jean-Jacques Annaud,Everett McGill,7.3
The Final Conflict,R,Horror,Graham Baker,Sam Neill,5.6
Mommie Dearest,R,Biography,Frank Perry,Faye Dunaway,6.7
Private Lessons,R,Comedy,Alan Myerson,Sylvia Kristel,5.2
The Postman Always Rings Twice,R,Crime,Bob Rafelson,Jack Nicholson,6.6
Deadly Blessing,R,Horror,Wes Craven,Maren Jensen,5.6
Eyewitness,R,Crime,Peter Yates,William Hurt,6.0
Gallipoli,PG,Adventure,Peter Weir,Mel Gibson,7.4
Outland,R,Action,Peter Hyams,Sean Connery,6.6
Southern Comfort,R,Action,Walter Hill,Keith Carradine,7.2
S.O.B.,R,Comedy,Blake Edwards,Julie Andrews,6.4
The Beyond,R,Horror,Lucio Fulci,Catriona MacColl,6.8
Ghost Story,R,Drama,John Irvin,Craig Wasson,6.3
My Bloody Valentine,R,Horror,George Mihalka,Paul Kelman,6.3
My Bloody Valentine,R,Horror,Patrick Lussier,Jensen Ackles,5.4
The Funhouse,R,Horror,Tobe Hooper,Elizabeth Berridge,5.9
One from the Heart,R,Drama,Francis Ford Coppola,Frederic Forrest,6.5
The French Lieutenant's Woman,R,Drama,Karel Reisz,Meryl Streep,7.0
The Great Muppet Caper,G,Adventure,Jim Henson,Jim Henson,7.2
True Confessions,R,Crime,Ulu Grosbard,Robert De Niro,6.3
Looker,PG,Drama,Michael Crichton,Albert Finney,6.1
Nighthawks,R,Action,Bruce Malmuth,Sylvester Stallone,6.4
Nice Dreams,R,Comedy,Tommy Chong,Cheech Marin,6.2
Sharky's Machine,R,Action,Burt Reynolds,Burt Reynolds,6.3
Neighbors,R,Comedy,John G. Avildsen,John Belushi,5.6
Neighbors,R,Comedy,Nicholas Stoller,Seth Rogen,6.3
Puberty Blues,R,Comedy,Bruce Beresford,Nell Schofield,5.9
Eye of the Needle,R,Romance,Richard Marquand,Donald Sutherland,7.1
Wolfen,R,Horror,Michael Wadleigh,Albert Finney,6.3
Student Bodies,R,Comedy,Mickey Rose,Kristen Riter,5.5
Prince of the City,R,Crime,Sidney Lumet,Treat Williams,7.5
The Hand,R,Drama,Oliver Stone,Michael Caine,5.5
Diva,R,Music,Jean-Jacques Beineix,Wilhelmenia Fernandez,7.2
Venom,R,Horror,Piers Haggard,Klaus Kinski,5.8
Venom,R,Horror,Jim Gillespie,Agnes Bruckner,4.6
Venom,PG-13,Action,Ruben Fleischer,Tom Hardy,6.7
Fort Apache the Bronx,R,Crime,Daniel Petrie,Paul Newman,6.7
Eyes of a Stranger,R,Horror,Ken Wiederhorn,Lauren Tewes,6.0
Zorro: The Gay Blade,PG,Action,Peter Medak,George Hamilton,6.2
Under the Rainbow,PG,Comedy,Steve Rash,Chevy Chase,5.4
Carbon Copy,PG,Comedy,Michael Schultz,George Segal,5.6
The Incredible Shrinking Woman,PG,Comedy,Joel Schumacher,Lily Tomlin,5.5
Quartet,R,Drama,James Ivory,Isabelle Adjani,6.3
Quartet,PG-13,Comedy,Dustin Hoffman,Maggie Smith,6.8
Graduation Day,R,Horror,Herb Freed,Christopher George,4.9
Modern Problems,PG,Comedy,Ken Shapiro,Chevy Chase,5.1
Pennies from Heaven,R,Drama,Herbert Ross,Steve Martin,6.5
American Pop,R,Animation,Ralph Bakshi,Mews Small,7.2
The Legend of the Lone Ranger,PG,Action,William A. Fraker,Klinton Spilsbury,5.1
Night School,R,Horror,Ken Hughes,Leonard Mann,5.6
Night School,PG-13,Comedy,Malcolm D. Lee,Kevin Hart,5.6
An Eye for an Eye,R,Action,Steve Carver,Chuck Norris,5.5
Rich and Famous,R,Drama,George Cukor,Jacqueline Bisset,5.9
Buddy Buddy,R,Comedy,Billy Wilder,Jack Lemmon,6.5
Bustin' Loose,R,Comedy,Oz Scott,Richard Pryor,6.1
Modern Romance,R,Comedy,Albert Brooks,Albert Brooks,7.0
Back Roads,R,Adventure,Martin Ritt,Sally Field,5.6
Whose Life Is It Anyway?,R,Comedy,John Badham,Richard Dreyfuss,7.3
Inchon,PG,Drama,Terence Young,Laurence Olivier,2.7
All Night Long,R,Comedy,Jean-Claude Tramont,Gene Hackman,5.5
The Pursuit of D.B. Cooper,PG,Adventure,Roger Spottiswoode,Robert Duvall,5.6
Rollover,R,Drama,Alan J. Pakula,Jane Fonda,5.4
King of the Mountain,PG,Action,Noel Nosseck,Harry Hamlin,5.5
Scream,R,Horror,Byron Quisenberry,Pepper Martin,2.9
Scream,R,Horror,Wes Craven,Neve Campbell,7.3
The Amateur,R,Crime,Charles Jarrott,John Savage,5.8
Fast Times at Ridgemont High,R,Comedy,Amy Heckerling,Sean Penn,7.2
Blade Runner,R,Action,Ridley Scott,Harrison Ford,8.1
The Thing,R,Horror,John Carpenter,Kurt Russell,8.1
The Thing,R,Horror,Matthijs van Heijningen Jr.,Mary Elizabeth Winstead,6.2
Conan the Barbarian,R,Action,John Milius,Arnold Schwarzenegger,6.9
Conan the Barbarian,R,Action,Marcus Nispel,Jason Momoa,5.2
E.T. the Extra-Terrestrial,PG,Family,Steven Spielberg,Henry Thomas,7.8
First Blood,R,Action,Ted Kotcheff,Sylvester Stallone,7.7
An Officer and a Gentleman,R,Drama,Taylor Hackford,Richard Gere,7.0
Grease 2,PG,Comedy,Patricia Birch,Michelle Pfeiffer,4.4
Annie,PG,Comedy,John Huston,Aileen Quinn,6.6
Annie,PG,Comedy,Will Gluck,Quvenzhané Wallis,5.3
Poltergeist,PG,Horror,Tobe Hooper,JoBeth Williams,7.3
Poltergeist,PG-13,Horror,Gil Kenan,Sam Rockwell,4.9
48 Hrs.,R,Action,Walter Hill,Nick Nolte,6.9
Star Trek II: The Wrath of Khan,PG,Action,Nicholas Meyer,William Shatner,7.7
Paradise,R,Adventure,Stuart Gillard,Willie Aames,4.9
Paradise,PG-13,Drama,Mary Agnes Donoghue,Melanie Griffith,6.7
The Last American Virgin,R,Comedy,Boaz Davidson,Lawrence Monoson,6.3
Sophie's Choice,R,Drama,Alan J. Pakula,Meryl Streep,7.6
Gandhi,PG,Biography,Richard Attenborough,Ben Kingsley,8.0
Tootsie,PG,Comedy,Sydney Pollack,Dustin Hoffman,7.4
Tron,PG,Action,Steven Lisberger,Jeff Bridges,6.8
The Secret of NIMH,G,Animation,Don Bluth,Elizabeth Hartman,7.6
The King of Comedy,PG,Comedy,Martin Scorsese,Robert De Niro,7.8
Rocky III,PG,Drama,Sylvester Stallone,Sylvester Stallone,6.8
The Beastmaster,PG,Action,Don Coscarelli,Marc Singer,6.2
Creepshow,R,Comedy,George A. Romero,Hal Holbrook,6.9
The Man from Snowy River,PG,Adventure,George Miller,Kirk Douglas,7.3
