title,rating,genre,director,star,score
The Adventures of Ford Fairlane,R,Action,Renny Harlin,Andrew Dice Clay,6.4
Marked for Death,R,Action,Dwight H. Little,Steven Seagal,6.0
Dreams,PG,Drama,Akira Kurosawa,Akira Terao,7.8
Air America,R,Action,Roger Spottiswoode,Mel Gibson,5.8
I Love You to Death,R,Comedy,Lawrence Kasdan,Kevin Kline,6.4
Class of 1999,R,Action,Mark L. Lester,Bradley Gregg,5.9
Death Warrant,R,Action,Deran Sarafian,Jean-Claude Van Damme,5.7
White Palace,R,Drama,Luis Mandoki,Susan Sarandon,6.5
Close-Up,Not Rated,Biography,Abbas Kiarostami,Hossain Sabzian,8.3
Quick Change,R,Comedy,Howard Franklin,Bill Murray,6.8
Hardware,R,Sci-Fi,Richard Stanley,Dylan McDermott,6.0
Mr. Destiny,PG-13,Comedy,James Orr,Jim Belushi,6.4
The Freshman,PG,Comedy,Andrew Bergman,Marlon Brando,6.5
Blue Steel,R,Action,Kathryn Bigelow,Jamie Lee Curtis,5.7
The Krays,R,Biography,Peter Medak,Gary Kemp,6.6
Navy Seals,R,Action,Lewis Teague,Charlie Sheen,5.6
Graveyard Shift,R,Horror,Ralph S. Singleton,David Andrews,4.9
The Sheltering Sky,R,Adventure,Bernardo Bertolucci,Debra Winger,6.8
Dark Angel,R,Action,Craig R. Baxley,Dolph Lundgren,6.1
The Comfort of Strangers,R,Drama,Paul Schrader,Christopher Walken,6.3
Mo' Better Blues,R,Drama,Spike Lee,Denzel Washington,6.6
Bad Influence,R,Drama,Curtis Hanson,Rob Lowe,6.3
Look Who's Talking Too,PG-13,Comedy,Amy Heckerling,John Travolta,4.7
Rosencrantz & Guildenstern Are Dead,PG,Comedy,Tom Stoppard,Gary Oldman,7.4
Tales from the Darkside: The Movie,R,Comedy,John Harrison,Debbie Harry,6.3
The Rookie,R,Action,Clint Eastwood,Clint Eastwood,5.9
The Rookie,G,Drama,John Lee Hancock,Dennis Quaid,6.9
Green Card,PG-13,Comedy,Peter Weir,Gérard Depardieu,6.2
Metropolitan,PG-13,Comedy,Whit Stillman,Carolyn Farina,7.4
Europa Europa,R,Drama,Agnieszka Holland,Solomon Perel,7.6
Everybody Wins,R,Drama,Karel Reisz,Debra Winger,5.1
Truly Madly Deeply,PG,Comedy,Anthony Minghella,Juliet Stevenson,7.2
Havana,R,Drama,Sydney Pollack,Robert Redford,6.1
DuckTales the Movie: Treasure of the Lost Lamp,G,Animation,Bob Hathcock,Alan Young,6.9
The Russia House,R,Drama,Fred Schepisi,Sean Connery,6.1
Life Is Sweet,R,Comedy,Mike Leigh,Alison Steadman,7.5
Jetsons: The Movie,G,Animation,Joseph Barbera,George O'Hanlon,5.6
White Hunter Black Heart,PG,Adventure,Clint Eastwood,Clint Eastwood,6.6
Avalon,PG,Drama,Barry Levinson,Aidan Quinn,7.2
Narrow Margin,R,Action,Peter Hyams,Gene Hackman,6.6
Taking Care of Business,R,Comedy,Arthur Hiller,Jim Belushi,6.5
The Guardian,R,Drama,William Friedkin,Jenny Seagrove,5.4
The Guardian,PG-13,Action,Andrew Davis,Kevin Costner,6.9
Repossessed,PG-13,Comedy,Bob Logan,Leslie Nielsen,4.8
Fire Birds,PG-13,Action,David Green,Nicolas Cage,4.8
Miami Blues,R,Comedy,George Armitage,Fred Ward,6.4
The Field,PG-13,Drama,Jim Sheridan,Richard Harris,7.4
"After Dark, My Sweet",R,Crime,James Foley,Jason Patric,6.6
Alice,PG-13,Comedy,Woody Allen,Mia Farrow,6.6
The First Power,R,Crime,Robert Resnikoff,Lou Diamond Phillips,5.7
Desperate Hours,R,Action,Michael Cimino,Mickey Rourke,5.4
Ju Dou,PG-13,Drama,Yimou Zhang,Gong Li,7.7
Cadence,PG-13,Drama,Martin Sheen,Charlie Sheen,6.5
Brain Dead,R,Horror,Adam Simon,Bill Pullman,6.0
The Hairdresser's Husband,R,Comedy,Patrice Leconte,Jean Rochefort,7.3
Ernest Goes to Jail,PG,Comedy,John R. Cherry III,Jim Varney,5.4
Madhouse,PG-13,Comedy,Tom Ropelewski,Richard Alexander,5.5
Mountains of the Moon,R,Adventure,Bob Rafelson,Patrick Bergin,7.2
Two Evil Eyes,R,Horror,Dario Argento,Adrienne Barbeau,6.1
Trust,R,Comedy,Hal Hartley,Adrienne Shelly,7.4
Trust,R,Crime,David Schwimmer,Clive Owen,6.9
Crazy People,R,Comedy,Tony Bill,Dudley Moore,6.0
Roger Corman's Frankenstein Unbound,R,Drama,Roger Corman,John Hurt,5.5
Nuns on the Run,PG-13,Comedy,Jonathan Lynn,Eric Idle,6.0
An Angel at My Table,R,Biography,Jane Campion,Kerry Fox,7.5
Stanley & Iris,PG-13,Drama,Martin Ritt,Jane Fonda,6.4
Flashback,R,Action,Franco Amurri,Dennis Hopper,6.2
Ghost Dad,PG,Comedy,Sidney Poitier,Bill Cosby,4.4
Book of Love,PG-13,Comedy,Robert Shaye,Chris Young,6.2
Hidden Agenda,R,Drama,Ken Loach,Frances McDormand,6.9
Everybody's Fine,PG-13,Drama,Giuseppe Tornatore,Marcello Mastroianni,7.7
Everybody's Fine,PG-13,Adventure,Kirk Jones,Robert De Niro,7.1
Betsy's Wedding,R,Comedy,Alan Alda,Alan Alda,5.6
Def by Temptation,R,Horror,James Bond III,James Bond III,4.7
My Father's Glory,G,Adventure,Yves Robert,Philippe Caubère,7.6
Vincent & Theo,PG-13,Biography,Robert Altman,Tim Roth,6.9
Streets,R,Action,Katt Shea,Christina Applegate,5.7
Stella,PG-13,Drama,John Erman,Bette Midler,6.2
Loose Cannons,R,Action,Bob Clark,Gene Hackman,4.9
A Tale of Springtime,PG,Comedy,Éric Rohmer,Anne Teyssèdre,7.2
Where the Heart Is,R,Comedy,John Boorman,Dabney Coleman,6.0
Where the Heart Is,PG-13,Comedy,Matt Williams,Natalie Portman,6.7
Boiling Point,Not Rated,Action,Takeshi Kitano,Takeshi Kitano,6.8
Boiling Point,R,Action,James B. Harris,Wesley Snipes,5.0
Downtown,R,Action,Richard Benjamin,Anthony Edwards,5.7
Come See the Paradise,R,Drama,Alan Parker,Dennis Quaid,6.7
The Garden,Unrated,Drama,Derek Jarman,Tilda Swinton,6.4
Lambada,PG,Drama,Joel Silberg,J. Eddie Peck,3.5
May Fools,R,Comedy,Louis Malle,Miou-Miou,7.3
Opportunity Knocks,PG-13,Comedy,Donald Petrie,Dana Carvey,6.0
Funny About Love,PG-13,Comedy,Leonard Nimoy,Gene Wilder,4.9
Sibling Rivalry,PG-13,Comedy,Carl Reiner,Kirstie Alley,5.4
Vital Signs,R,Drama,Marisa Silver,Adrian Pasdar,5.4
Body Chemistry,R,Drama,Kristine Peterson,Marc Singer,4.3
Heaven and Earth,PG-13,Action,Haruki Kadokawa,Takaaki Enoki,7.0
Crossing the Line,R,Crime,David Leland,Kenny Ireland,5.8
The Nasty Girl,PG-13,Comedy,Michael Verhoeven,Lena Stolze,7.3
Terminator 2: Judgment Day,R,Action,James Cameron,Arnold Schwarzenegger,8.5
Point Break,R,Action,Kathryn Bigelow,Patrick Swayze,7.3
Point Break,PG-13,Action,Ericson Core,Edgar Ramírez,5.3
The Silence of the Lambs,R,Crime,Jonathan Demme,Jodie Foster,8.6
Hook,PG,Adventure,Steven Spielberg,Dustin Hoffman,6.8
Boyz n the Hood,R,Crime,John Singleton,Cuba Gooding Jr.,7.8
Cape Fear,R,Crime,Martin Scorsese,Robert De Niro,7.3
Career Opportunities,PG-13,Comedy,Bryan Gordon,Frank Whaley,5.9
The Addams Family,PG-13,Comedy,Barry Sonnenfeld,Anjelica Huston,6.9
The Addams Family,PG,Animation,Greg Tiernan,Oscar Isaac,5.8
Thelma & Louise,R,Adventure,Ridley Scott,Susan Sarandon,7.5
Robin Hood: Prince of Thieves,PG-13,Action,Kevin Reynolds,Kevin Costner,6.9
The Doors,R,Biography,Oliver Stone,Val Kilmer,7.2
Beauty and the Beast,G,Animation,Gary Trousdale,Paige O'Hara,8.0
Beauty and the Beast,PG,Family,Bill Condon,Emma Watson,7.1
Fried Green Tomatoes,PG-13,Drama,Jon Avnet,Kathy Bates,7.7
JFK,R,Drama,Oliver Stone,Kevin Costner,8.0
The Rocketeer,PG,Action,Joe Johnston,Billy Campbell,6.5
My Girl,PG,Comedy,Howard Zieff,Anna Chlumsky,6.9
Backdraft,R,Action,Ron Howard,Kurt Russell,6.7
Bill & Ted's Bogus Journey,PG,Adventure,Peter Hewitt,Keanu Reeves,6.3
Father of the Bride,PG,Comedy,Charles Shyer,Steve Martin,6.5
City Slickers,PG-13,Comedy,Ron Underwood,Billy Crystal,6.8
Don't Tell Mom the Babysitter's Dead,PG-13,Comedy,Stephen Herek,Christina Applegate,6.3
The Fisher King,R,Comedy,Terry Gilliam,Jeff Bridges,7.5
Sex and Zen,R,Comedy,Michael Mak,Lawrence Ng,5.6
Sleeping with the Enemy,R,Drama,Joseph Ruben,Julia Roberts,6.3
The Beautiful Troublemaker,Unrated,Drama,Jacques Rivette,Michel Piccoli,7.6
Return to the Blue Lagoon,PG-13,Adventure,William A. Graham,Brian Krause,5.2
The Last Boy Scout,R,Action,Tony Scott,Bruce Willis,7.0
Star Trek VI: The Undiscovered Country,PG,Action,Nicholas Meyer,William Shatner,7.2
My Own Private Idaho,R,Drama,Gus Van Sant,River Phoenix,7.0
Drop Dead Fred,PG-13,Comedy,Ate de Jong,Phoebe Cates,5.9
Hot Shots!,PG-13,Action,Jim Abrahams,Charlie Sheen,6.8
Hudson Hawk,R,Action,Michael Lehmann,Bruce Willis,5.8
The Prince of Tides,R,Drama,Barbra Streisand,Barbra Streisand,6.7
Barton Fink,R,Comedy,Joel Coen,John Turturro,7.7
Nothing But Trouble,PG-13,Comedy,Dan Aykroyd,Chevy Chase,5.1
What About Bob?,PG,Comedy,Frank Oz,Bill Murray,7.0
Naked Lunch,R,Drama,David Cronenberg,Peter Weller,7.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,Action,Michael Pressman,Paige Turco,6.0
The Naked Gun 2½: The Smell of Fear,PG-13,Comedy,David Zucker,Leslie Nielsen,6.9
Double Impact,R,Action,Sheldon Lettich,Jean-Claude Van Damme,5.6
The Commitments,R,Comedy,Alan Parker,Robert Arkins,7.6
The Man in the Moon,PG-13,Drama,Robert Mulligan,Sam Waterston,7.3
The Double Life of Véronique,R,Drama,Krzysztof Kieslowski,Irène Jacob,7.8
New Jack City,R,Action,Mario Van Peebles,Wesley Snipes,6.7
Toy Soldiers,R,Action,Daniel Petrie Jr.,Sean Astin,6.6
The People Under the Stairs,R,Comedy,Wes Craven,Brandon Quintin Adams,6.4
Regarding Henry,PG-13,Drama,Mike Nichols,Harrison Ford,6.7
Bugsy,R,Biography,Barry Levinson,Warren Beatty,6.8
Doc Hollywood,PG-13,Comedy,Michael Caton-Jones,Michael J. Fox,6.2
Delicatessen,R,Comedy,Marc Caro,Marie-Laure Dougnac,7.6
Night on Earth,R,Comedy,Jim Jarmusch,Winona Ryder,7.7
Child's Play 3,R,Horror,Jack Bender,Justin Whalin,5.1
Freddy's Dead: The Final Nightmare,R,Fantasy,Rachel Talalay,Robert Englund,4.9
Oscar,PG,Comedy,John Landis,Sylvester Stallone,6.5
The Lovers on the Bridge,R,Drama,Leos Carax,Juliette Binoche,7.6
Highlander II: The Quickening,R,Action,Russell Mulcahy,Christopher Lambert,4.2
Stone Cold,R,Action,Craig R. Baxley,Brian Bosworth,6.0
Wild Hearts Can't Be Broken,G,Drama,Steve Miner,Gabrielle Anwar,7.2
Showdown in Little Tokyo,R,Action,Mark L. Lester,Dolph Lundgren,6.1
Jungle Fever,R,Drama,Spike Lee,Wesley Snipes,6.6
Harley Davidson and the Marlboro Man,R,Action,Simon Wincer,Mickey Rourke,6.1
Not Without My Daughter,PG-13,Drama,Brian Gilbert,Sally Field,6.4
Defending Your Life,PG,Comedy,Albert Brooks,Albert Brooks,7.2
Flight of the Intruder,PG-13,Action,John Milius,Danny Glover,5.8
Problem Child 2,PG-13,Comedy,Brian Levant,John Ritter,4.9
The Hard Way,R,Action,John Badham,Michael J. Fox,6.4
Ricochet,R,Action,Russell Mulcahy,Denzel Washington,6.2
L.A. Story,PG-13,Comedy,Mick Jackson,Steve Martin,6.7
Rush,R,Action,Lili Fini Zanuck,Jason Patric,6.8
Rush,R,Action,Ron Howard,Daniel Brühl,8.1
Dead Again,R,Crime,Kenneth Branagh,Kenneth Branagh,6.9
Out for Justice,R,Action,John Flynn,Steven Seagal,6.1
Only Yesterday,PG,Animation,Isao Takahata,Miki Imai,7.6
The Indian Runner,R,Drama,Sean Penn,David Morse,7.0
An American Tail: Fievel Goes West,G,Animation,Phil Nibbelink,James Stewart,6.5
Life Stinks,PG-13,Comedy,Mel Brooks,Mel Brooks,5.9
Frankie and Johnny,R,Comedy,Garry Marshall,Al Pacino,6.7
Grand Canyon,R,Crime,Lawrence Kasdan,Danny Glover,6.9
Close My Eyes,R,Drama,Stephen Poliakoff,Alan Rickman,6.3
Homicide,R,Crime,David Mamet,Joe Mantegna,7.0
Soapdish,PG-13,Comedy,Michael Hoffman,Sally Field,6.6
Curly Sue,PG,Comedy,John Hughes,Jim Belushi,5.9
Necessary Roughness,PG-13,Comedy,Stan Dragoti,Scott Bakula,6.2
Wild Orchid II: Two Shades of Blue,R,Drama,Zalman King,Nina Siemaszko,4.0
Switch,R,Comedy,Blake Edwards,Ellen Barkin,5.8
White Fang,PG,Adventure,Randal Kleiser,Ethan Hawke,6.7
Until the End of the World,R,Action,Wim Wenders,William Hurt,6.8
Only the Lonely,PG-13,Comedy,Chris Columbus,John Candy,6.4
Dutch,PG-13,Comedy,Peter Faiman,Ed O'Neill,6.5
Shattered,R,Crime,Wolfgang Petersen,Tom Berenger,6.5
Raise the Red Lantern,PG,Drama,Yimou Zhang,Gong Li,8.1
Popcorn,R,Comedy,Mark Herrier,Jill Schoelen,5.8
Mobsters,R,Crime,Michael Karbelnikoff,Christian Slater,6.0
Operation Condor,PG-13,Action,Jackie Chan,Jackie Chan,7.3
If Looks Could Kill,PG-13,Action,William Dear,Richard Grieco,5.8
The Butcher's Wife,PG-13,Comedy,Terry Hughes,Demi Moore,5.4
Dying Young,R,Drama,Joel Schumacher,Julia Roberts,6.1
Dogfight,R,Comedy,Nancy Savoca,River Phoenix,7.4
Whore,NC-17,Drama,Ken Russell,Theresa Russell,5.6
Hear My Song,R,Comedy,Peter Chelsom,Ned Beatty,7.0
Other People's Money,R,Comedy,Norman Jewison,Danny DeVito,6.2
Delirious,PG,Comedy,Tom Mankiewicz,John Candy,5.9
Flirting,R,Drama,John Duigan,Noah Taylor,7.2
The Pit and the Pendulum,R,Horror,Stuart Gordon,Lance Henriksen,6.0
High Heels,R,Comedy,Pedro Almodóvar,Victoria Abril,7.1
Little Man Tate,PG,Drama,Jodie Foster,Jodie Foster,6.6
Shakes the Clown,R,Comedy,Bobcat Goldthwait,Bobcat Goldthwait,5.6
Black Robe,R,Adventure,Bruce Beresford,Lothaire Bluteau,7.1
Billy Bathgate,R,Crime,Robert Benton,Dustin Hoffman,5.9
Europa,R,Drama,Lars von Trier,Barbara Sukowa,7.6
The Doctor,PG-13,Drama,Randa Haines,William Hurt,7.0
Kafka,PG-13,Drama,Steven Soderbergh,Jeremy Irons,6.9
Mystery Date,PG-13,Comedy,Jonathan Wacks,Ethan Hawke,6.0
Ernest Scared Stupid,PG,Comedy,John R. Cherry III,Jim Varney,5.8
The Five Heartbeats,R,Drama,Robert Townsend,Robert Townsend,7.6
Mississippi Masala,R,Drama,Mira Nair,Denzel Washington,6.7
The Marrying Man,R,Comedy,Jerry Rees,Kim Basinger,5.8
"He Said, She Said",PG-13,Comedy,Ken Kwapis,Kevin Bacon,5.6
Poison,Unrated,Drama,Todd Haynes,Edith Meeks,6.4
Enchanted April,PG,Drama,Mike Newell,Alfred Molina,7.4
Mediterraneo,R,Comedy,Gabriele Salvatores,Diego Abatantuono,7.5
House Party 2,R,Comedy,George Jackson,Christopher Reid,5.3
Deceived,PG-13,Crime,Damian Harris,Goldie Hawn,6.2
The Perfect Weapon,R,Action,Mark DiSalle,Jeff Speakman,6.0
Under Suspicion,R,Crime,Simon Moore,Liam Neeson,6.5
Under Suspicion,R,Crime,Stephen Hopkins,Morgan Freeman,6.5
Rambling Rose,R,Drama,Martha Coolidge,Laura Dern,6.6
Big Girls Don't Cry... They Get Even,PG,Comedy,Joan Micklin Silver,Griffin Dunne,6.5
Prospero's Books,R,Drama,Peter Greenaway,John Gielgud,6.9
Pure Luck,PG,Comedy,Nadia Tass,Martin Short,5.8
F/X2,PG-13,Action,Richard Franklin,Bryan Brown,5.9
Mortal Thoughts,R,Mystery,Alan Rudolph,Demi Moore,5.7
For the Boys,R,Comedy,Mark Rydell,Bette Midler,6.4
Beastmaster 2: Through the Portal of Time,PG-13,Action,Sylvio Tabet,Marc Singer,4.1
A Rage in Harlem,R,Comedy,Bill Duke,Forest Whitaker,5.9
Rhapsody in August,PG,Drama,Akira Kurosawa,Sachiko Murase,7.2
V.I. Warshawski,R,Action,Jeff Kanew,Kathleen Turner,5.0
The Super,R,Comedy,Rod Daniel,Joe Pesci,5.6
Proof,R,Drama,Jocelyn Moorhouse,Hugo Weaving,7.2
Proof,PG-13,Drama,John Madden,Gwyneth Paltrow,6.7
True Colors,R,Drama,Herbert Ross,John Cusack,6.3
A Kiss Before Dying,R,Crime,James Dearden,Matt Dillon,5.7
Guilty by Suspicion,PG-13,Drama,Irwin Winkler,Robert De Niro,6.5
Scissors,R,Horror,Frank De Felitta,Sharon Stone,5.2
Where Angels Fear to Tread,PG,Drama,Charles Sturridge,Helena Bonham Carter,6.4
The Hitman,R,Action,Aaron Norris,Chuck Norris,5.4
Bingo,PG,Adventure,Matthew Robbins,Cindy Williams,4.9
Body Parts,R,Horror,Eric Red,Jeff Fahey,5.6
All I Want for Christmas,G,Comedy,Robert Lieberman,Harley Jane Kozak,6.0
Shout,PG-13,Drama,Jeffrey Hornaday,John Travolta,5.3
Daughters of the Dust,TV-PG,Drama,Julie Dash,Cora Lee Day,6.6
Sólo con tu pareja,Not Rated,Comedy,Alfonso Cuarón,Daniel Giménez Cacho,6.9
Run,R,Action,Geoff Burrowes,Patrick Dempsey,6.2
Madame Bovary,PG-13,Drama,Claude Chabrol,Isabelle Huppert,6.6
City of Hope,R,Crime,John Sayles,Vincent Spano,7.3
Riff-Raff,R,Comedy,Ken Loach,Robert Carlyle,7.1
The Unborn,R,Drama,Rodman Flender,Brooke Adams,4.6
The Unborn,PG-13,Drama,David S. Goyer,Odette Annable,4.8
Van Gogh,R,Biography,Maurice Pialat,Jacques Dutronc,7.2
Johnny Stecchino,R,Comedy,Roberto Benigni,Roberto Benigni,7.2
Stepping Out,PG,Comedy,Lewis Gilbert,Liza Minnelli,6.4
The Inner Circle,PG-13,Biography,Andrey Konchalovskiy,Tom Hulce,7.1
Reservoir Dogs,R,Crime,Quentin Tarantino,Harvey Keitel,8.3
Basic Instinct,R,Drama,Paul Verhoeven,Michael Douglas,7.0
Candyman,R,Horror,Bernard Rose,Virginia Madsen,6.6
My Cousin Vinny,R,Comedy,Jonathan Lynn,Joe Pesci,7.6
The Last of the Mohicans,R,Action,Michael Mann,Daniel Day-Lewis,7.7
Dracula,R,Horror,Francis Ford Coppola,Gary Oldman,7.4
Unforgiven,R,Drama,Clint Eastwood,Clint Eastwood,8.2
A Few Good Men,R,Drama,Rob Reiner,Tom Cruise,7.7
A League of Their Own,PG,Comedy,Penny Marshall,Tom Hanks,7.3
The Bodyguard,R,Action,Mick Jackson,Kevin Costner,6.3
Scent of a Woman,R,Drama,Martin Brest,Al Pacino,8.0
Batman Returns,PG-13,Action,Tim Burton,Michael Keaton,7.0
The Mighty Ducks,PG,Comedy,Stephen Herek,Emilio Estevez,6.6
Aladdin,G,Animation,Ron Clements,Scott Weinger,8.0
Aladdin,PG,Adventure,Guy Ritchie,Will Smith,6.9
Sister Act,PG,Comedy,Emile Ardolino,Whoopi Goldberg,6.4
Alien 3,R,Action,David Fincher,Sigourney Weaver,6.5
Death Becomes Her,PG-13,Comedy,Robert Zemeckis,Meryl Streep,6.6
Far and Away,PG-13,Adventure,Ron Howard,Tom Cruise,6.6
The Crying Game,R,Crime,Neil Jordan,Stephen Rea,7.3
Howards End,PG,Drama,James Ivory,Anthony Hopkins,7.4
Under Siege,R,Action,Andrew Davis,Steven Seagal,6.5
Deep Cover,R,Action,Bill Duke,Laurence Fishburne,6.9
Single White Female,R,Drama,Barbet Schroeder,Bridget Fonda,6.4
Cool World,PG-13,Animation,Ralph Bakshi,Gabriel Byrne,4.9
Glengarry Glen Ross,R,Crime,James Foley,Al Pacino,7.7
Wayne's World,PG-13,Comedy,Penelope Spheeris,Mike Myers,7.0
Army of Darkness,R,Comedy,Sam Raimi,Bruce Campbell,7.5
A River Runs Through It,PG,Drama,Robert Redford,Craig Sheffer,7.2
Twin Peaks: Fire Walk with Me,R,Drama,David Lynch,Sheryl Lee,7.3
Of Mice and Men,PG-13,Drama,Gary Sinise,John Malkovich,7.5
Beethoven,PG,Comedy,Brian Levant,Charles Grodin,5.7
Universal Soldier,R,Action,Roland Emmerich,Jean-Claude Van Damme,6.0
Buffy the Vampire Slayer,PG-13,Action,Fran Rubel Kuzui,Kristy Swanson,5.7
Sleepwalkers,R,Fantasy,Mick Garris,Brian Krause,5.3
Chaplin,PG-13,Biography,Richard Attenborough,Robert Downey Jr.,7.5
The Lover,R,Biography,Jean-Jacques Annaud,Jane March,6.9
Home Alone 2: Lost in New York,PG,Adventure,Chris Columbus,Macaulay Culkin,6.8
The Hand That Rocks the Cradle,R,Drama,Curtis Hanson,Annabella Sciorra,6.6
Newsies,PG,Drama,Kenny Ortega,Christian Bale,6.9
Malcolm X,PG-13,Biography,Spike Lee,Denzel Washington,7.7
Patriot Games,R,Action,Phillip Noyce,Harrison Ford,6.9
Dead Alive,R,Comedy,Peter Jackson,Timothy Balme,7.5
Poison Ivy,R,Drama,Katt Shea,Drew Barrymore,5.4
Sneakers,PG-13,Comedy,Phil Alden Robinson,Robert Redford,7.1
The Lawnmower Man,R,Horror,Brett Leonard,Jeff Fahey,5.4
The Player,R,Comedy,Robert Altman,Tim Robbins,7.5
Encino Man,PG,Comedy,Les Mayfield,Sean Astin,5.8
White Men Can't Jump,R,Comedy,Ron Shelton,Wesley Snipes,6.8
Lethal Weapon 3,R,Action,Richard Donner,Mel Gibson,6.7
American Me,R,Biography,Edward James Olmos,Edward James Olmos,7.2
El Mariachi,R,Action,Robert Rodriguez,Carlos Gallardo,6.9
Bitter Moon,R,Drama,Roman Polanski,Hugh Grant,7.2
Pet Sematary II,R,Fantasy,Mary Lambert,Edward Furlong,4.9
Bad Lieutenant,NC-17,Crime,Abel Ferrara,Harvey Keitel,7.1
Singles,PG-13,Comedy,Cameron Crowe,Bridget Fonda,6.7
FernGully: The Last Rainforest,G,Animation,Bill Kroyer,Samantha Mathis,6.5
School Ties,PG-13,Drama,Robert Mandel,Brendan Fraser,6.9
Hoffa,R,Biography,Danny DeVito,Jack Nicholson,6.6
Juice,R,Action,Ernest R. Dickerson,Omar Epps,7.1
Damage,R,Drama,Louis Malle,Jeremy Irons,6.8
Man Bites Dog,NC-17,Comedy,Rémy Belvaux,Benoît Poelvoorde,7.5
3 Ninjas,PG,Action,Jon Turteltaub,Victor Wong,5.3
Hellraiser III: Hell on Earth,R,Horror,Anthony Hickox,Terry Farrell,5.5
Body of Evidence,R,Drama,Uli Edel,Madonna,4.5
"Honey, I Blew Up the Kid",PG,Adventure,Randal Kleiser,Rick Moranis,4.9
Captain Ron,PG-13,Adventure,Thom Eberhardt,Kurt Russell,5.8
The Cutting Edge,PG,Comedy,Paul Michael Glaser,D.B. Sweeney,6.9
Passenger 57,R,Action,Kevin Hooks,Wesley Snipes,5.9
Ladybugs,PG-13,Comedy,Sidney J. Furie,Rodney Dangerfield,5.5
Radio Flyer,PG-13,Drama,Richard Donner,Lorraine Bracco,7.0
Strictly Ballroom,PG,Comedy,Baz Luhrmann,Paul Mercurio,7.2
Raising Cain,R,Crime,Brian De Palma,John Lithgow,6.1
Orlando,PG-13,Biography,Sally Potter,Tilda Swinton,7.2
Gladiator,R,Action,Rowdy Herrington,James Marshall,6.5
Gladiator,R,Action,Ridley Scott,Russell Crowe,8.5
Split Second,R,Action,Tony Maylam,Rutger Hauer,6.2
Tom and Jerry: The Movie,G,Animation,Phil Roman,Richard Kind,5.4
Toys,PG-13,Adventure,Barry Levinson,Robin Williams,5.1
Romper Stomper,R,Crime,Geoffrey Wright,Russell Crowe,6.8
1492: Conquest of Paradise,PG-13,Adventure,Ridley Scott,Gérard Depardieu,6.5
Boomerang,R,Comedy,Reginald Hudlin,Eddie Murphy,5.5
The Power of One,PG-13,Drama,John G. Avildsen,Stephen Dorff,7.2
Dr. Giggles,R,Comedy,Manny Coto,Larry Drake,5.2
Sidekicks,PG,Action,Aaron Norris,Chuck Norris,5.1
Medicine Man,PG-13,Adventure,John McTiernan,Sean Connery,6.0
Honeymoon in Vegas,PG-13,Comedy,Andrew Bergman,James Caan,5.8
Thunderheart,R,Crime,Michael Apted,Val Kilmer,6.8
Stop! Or My Mom Will Shoot,PG-13,Action,Roger Spottiswoode,Sylvester Stallone,4.3
Innocent Blood,R,Action,John Landis,Anne Parillaud,6.2
Unlawful Entry,R,Crime,Jonathan Kaplan,Kurt Russell,6.3
Lorenzo's Oil,PG-13,Biography,George Miller,Nick Nolte,7.3
Final Analysis,R,Drama,Phil Joanou,Richard Gere,5.9
One False Move,R,Crime,Carl Franklin,Bill Paxton,7.1
Stay Tuned,PG,Adventure,Peter Hyams,John Ritter,6.2
Consenting Adults,R,Crime,Alan J. Pakula,Kevin Kline,5.7
Fortress,R,Action,Stuart Gordon,Christopher Lambert,5.9
Once Upon a Crime...,PG,Comedy,Eugene Levy,John Candy,5.9
Supercop,R,Action,Stanley Tong,Jackie Chan,6.9
Memoirs of an Invisible Man,PG-13,Comedy,John Carpenter,Chevy Chase,6.0
Peter's Friends,R,Comedy,Kenneth Branagh,Hugh Laurie,7.0
Freejack,R,Action,Geoff Murphy,Emilio Estevez,5.4
Leap of Faith,PG-13,Comedy,Richard Pearce,Steve Martin,6.1
Noises Off...,PG-13,Comedy,Peter Bogdanovich,Michael Caine,7.5
Class Act,PG-13,Comedy,Randall Miller,Christopher Reid,6.1
Diggstown,R,Drama,Michael Ritchie,James Woods,7.0
Nemesis,R,Action,Albert Pyun,Olivier Gruner,5.4
Kuffs,PG-13,Action,Bruce A. Evans,Christian Slater,5.9
Shining Through,R,Drama,David Seltzer,Michael Douglas,6.4
Husbands and Wives,R,Comedy,Woody Allen,Woody Allen,7.5
Trespass,R,Action,Walter Hill,Bill Paxton,6.3
Trespass,R,Crime,Joel Schumacher,Nicolas Cage,5.3
Love Potion No. 9,PG-13,Comedy,Dale Launer,Tate Donovan,5.7
Rapid Fire,R,Action,Dwight H. Little,Brandon Lee,6.3
Wind,PG-13,Action,Carroll Ballard,Matthew Modine,6.4
Hero,PG-13,Comedy,Stephen Frears,Dustin Hoffman,6.5
Hero,PG-13,Action,Yimou Zhang,Jet Li,7.9
South Central,R,Crime,Stephen Milburn Anderson,Glenn Plummer,6.8
The Muppet Christmas Carol,G,Comedy,Brian Henson,Michael Caine,7.7
Tokyo Decadence,NC-17,Drama,Ryû Murakami,Miho Nikaido,6.0
Mr. Baseball,PG-13,Comedy,Fred Schepisi,Tom Selleck,6.0
Naked Killer,R,Action,Clarence Fok,Chingmy Yau,6.0
CrissCross,R,Crime,Chris Menges,Goldie Hawn,5.8
Waterland,R,Drama,Stephen Gyllenhaal,Jeremy Irons,6.6
White Sands,R,Action,Roger Donaldson,Willem Dafoe,6.0
